Symbol,Company,Delisted Date,Type of Delisting,,,,,
JCTEL,JCT Electronics Limited,02-Jul-18,Delisting - Liquidation,,,,,
LLOYDFIN,Lloyds Finance Limited,02-Jul-18,Delisting - Liquidation,,,,,
MICROTECH,Micro Technologies (India) Limited,02-Jul-18,Delisting - Liquidation,,,,,
PARAPRINT,Paramount Printpackaging Limited,02-Jul-18,Delisting - Liquidation,,,,,
SHREEASHTA,Shree Ashtavinayak Cine Vision Limited,02-Jul-18,Delisting - Liquidation,,,,,
SVOGL,SVOGL Oil Gas & Energy Limited,02-Jul-18,Delisting - Liquidation,,,,,
TIMBOR,Timbor Home Limited,02-Jul-18,Delisting - Liquidation,,,,,
TRICOM,Tricom India Limited,02-Jul-18,Delisting - Liquidation,,,,,
TWILITAKA,Twilight Litaka Pharma Limited,02-Jul-18,Delisting - Liquidation,,,,,
UBENGG,UB Engineering Limited,02-Jul-18,Delisting - Liquidation,,,,,
ZENITHINFO,Zenith Infotech Limited,02-Jul-18,Delisting - Liquidation,,,,,
POLARIS,Polaris Consulting & Services Limited,01-Aug-18,Voluntary Delisting ,,,,,
ACROPETAL,Acropetal Technologies Limited,08-Aug-18,Compulsory Delisting ,,,,,
AFTEK,Aftek Limited,08-Aug-18,Compulsory Delisting ,,,,,
ARVINDREM,Arvind Remedies Limited,08-Aug-18,Compulsory Delisting ,,,,,
CMAHENDRA,C Mahendra Exports Limited,08-Aug-18,Compulsory Delisting ,,,,,
ERAINFRA,Era Infra Engineering Limited,08-Aug-18,Compulsory Delisting ,,,,,
GEINDSYS,Gei Industrial Systems Limited,08-Aug-18,Compulsory Delisting ,,,,,
HINDEVELOP,Hindustan Development Corporation Limited,08-Aug-18,Compulsory Delisting ,,,,,
KNDENGTECH,KND Engineering Technologies Limited,08-Aug-18,Compulsory Delisting ,,,,,
MURLIIND,Murli Industries Limited,08-Aug-18,Compulsory Delisting ,,,,,
NEPCMICON,NEPC India Limited,08-Aug-18,Compulsory Delisting ,,,,,
NRC,NRC Limited,08-Aug-18,Compulsory Delisting ,,,,,
ORBITCORP,Orbit Corporation Limited,08-Aug-18,Compulsory Delisting ,,,,,
PARAL,Parekh Aluminex Limited,08-Aug-18,Compulsory Delisting ,,,,,
SGJHL,Shree Ganesh Jewellery House (I) Limited,08-Aug-18,Compulsory Delisting ,,,,,
SHRENUJ,Shrenuj & Company Limited,08-Aug-18,Compulsory Delisting ,,,,,
SPECTACLE,Spectacle Ventures Ltd,08-Aug-18,Compulsory Delisting ,,,,,
SUPERFORGE,Super Forgings & Steels Limited,08-Aug-18,Compulsory Delisting ,,,,,
SURYAJYOTI,Suryajyoti Spinning Mills Limited,08-Aug-18,Compulsory Delisting ,,,,,
TECPRO,Tecpro Systems Limited,08-Aug-18,Compulsory Delisting ,,,,,
VATSMUSC,Vatsa Music Limited,08-Aug-18,Compulsory Delisting ,,,,,
OMNITECH,Omnitech Infosolutions Limited,08-Aug-18,Delisting - Liquidation,,,,,
KARUNACAB,Karuna Cables Limited,08-Aug-18,Voluntary Delisting ,,,,,
CRANESSOFT,Cranes Software International Limited,08-Aug-18,Voluntary Delisting ,,,,,
DECOLIGHT,Decolight Ceramics Limited,11-Sep-18,Delisting - Liquidation,,,,,
DUNCANSLTD,Duncans Industries Limited,11-Sep-18,Compulsory Delisting ,,,,,
GEODESIC,Geodesic Limited,11-Sep-18,Delisting - Liquidation,,,,,
MALWACOTT,Malwa Cotton Spg. Mills Limited,11-Sep-18,Compulsory Delisting ,,,,,
NET4,Net 4 India Limited,11-Sep-18,Compulsory Delisting ,,,,,
NETVISTAIT,Netvista Information Technology Ltd,11-Sep-18,Compulsory Delisting ,,,,,
PRITHVI,Prithvi Information Solutions Limited,11-Sep-18,Compulsory Delisting ,,,,,
REIAGROLTD,Rei Agro Limited,11-Sep-18,Delisting - Liquidation,,,,,
REISIXTEN,REI Six Ten Retail Limited,11-Sep-18,Compulsory Delisting ,,,,,
SOFTTECHGR,Software Technology Group International Limited,11-Sep-18,Compulsory Delisting ,,,,,
SUDAR,Sudar Industries Limited,11-Sep-18,Compulsory Delisting ,,,,,
UBHOLDINGS,United Breweries (Holdings) Limited,11-Sep-18,Delisting - Liquidation,,,,,
VATSALTD,Vatsa Corporations Ltd,11-Sep-18,Compulsory Delisting ,,,,,
VKSPL,VKS Projects Limited,11-Sep-18,Compulsory Delisting ,,,,,
AICHAMP,AI Champdany Industries Limited,17-Oct-18,Voluntary Delisting ,,,,,
ELECTROSL,ELECTROSTEEL STEELS LIMITED,20-Dec-18,Voluntary Delisting ,,,,,
INFINITE,Infinite Computer Solutions (India) Limited,21-Dec-18,Voluntary Delisting ,,,,,
VITALCOMM,Vital Communications Limited,27-Dec-18,Compulsory Delisting ,,,,,
JENSONICOL,Jenson & Nicholson (lndia) Limited ,13-Feb-19,Delisting - Liquidation,,,,,
INDUSFILA,Indus Fila Limited,20-Feb-19,Compulsory Delisting ,,,,,
SIRPAPER,The Sirpur Paper Mills Limited,19-Mar-19,Voluntary Delisting ,,,,,
SALORAINTL,Salora International Limited,25-Apr-19,Voluntary Delisting ,,,,,
ECEIND,ECE Industries Limited,17-May-19,Voluntary Delisting ,,,,,
RAMGOPOLY,Ramgopal Polytex Limited,25-Jul-19,Voluntary Delisting ,,,,,
KITPLYIND,Kitply Industries Limited ,20-Aug-19,Voluntary Delisting ,,,,,
ELAND,E-Land Apparel Limited,01-Oct-19,Voluntary Delisting ,,,,,
AMAR,Amar Remedies Limited,17-Oct-19,Delisting - Liquidation,,,,,
SUPREMETEX,Supreme Tex Mart Limited,17-Oct-19,Delisting - Liquidation,,,,,
SAMTEL,Samtel Color Limited,17-Oct-19,Delisting - Liquidation,,,,,
HINDDORROL,Hindustan Dorr-Oliver Limited,17-Oct-19,Delisting - Liquidation,,,,,
SERVALL,Servalakshmi Paper Limited,17-Oct-19,Delisting - Liquidation,,,,,
LML,LML Limited,17-Oct-19,Delisting - Liquidation,,,,,
HANUNG,Hanung Toys and Textiles Limited,17-Oct-19,Delisting - Liquidation,,,,,
MOSERBAER,Moser-Baer (I) Limited,17-Oct-19,Delisting - Liquidation,,,,,
LITL,Lanco Infratech Limited,17-Oct-19,Delisting - Liquidation,,,,,
NITESHEST,NEL Holdings Limited,07-Nov-19,Voluntary Delisting ,,,,,
KESARENT,Kesar Enterprises Limited,07-Jan-20,Voluntary Delisting ,,,,,
KTIL,Kesar Terminals & Infrastructure Limited,07-Jan-20,Voluntary Delisting ,,,,,
